Topic,Topic_url,Item_description,Rating_out_of_5,Minimum_price,Maximum_price,Review,Item_Url
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",4.7,24.9,0.0,264224,www.amazon.com/fire-tv-stick-with-3rd-gen-alexa-voice-remote/dp/B08C1W5N87/ref=zg_bs_amazon-devices_sccl_1/142-0406831-1305737?pd_rd_i=B08C1W5N87&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",4.7,39.9,0.0,71994,www.amazon.com/fire-tv-stick-4k-max-with-alexa-voice-remote/dp/B08MQZXN1X/ref=zg_bs_amazon-devices_sccl_2/142-0406831-1305737?pd_rd_i=B08MQZXN1X&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.7,24.9,0.0,940011,www.amazon.com/Echo-Dot/dp/B07FZ8S74R/ref=zg_bs_amazon-devices_sccl_3/142-0406831-1305737?pd_rd_i=B07FZ8S74R&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal",4.6,39.9,0.0,93189,www.amazon.com/Echo-Show-5-2nd-Gen-2021-release/dp/B08J8FFJ8H/ref=zg_bs_amazon-devices_sccl_4/142-0406831-1305737?pd_rd_i=B08J8FFJ8H&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Ring Video Doorbell – 2020 release – 1080p HD video, improved motion detection, easy installation – Satin Nickel",4.7,99.99,199.98,114902,www.amazon.com/Ring-Video-Doorbell-Satin-Nickel-2020-Release/dp/B08N5NQ869/ref=zg_bs_amazon-devices_sccl_5/142-0406831-1305737?pd_rd_i=B0864SF4GC&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",4.7,109.0,0.0,12939,www.amazon.com/All-new-Kindle-Paperwhite-adjustable-Ad-Supported/dp/B08KTZ8249/ref=zg_bs_amazon-devices_sccl_6/142-0406831-1305737?pd_rd_i=B08KTZ8249&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,4.8,49.99,77.98,218000,www.amazon.com/All-New-Echo-Dot-4th-Gen/dp/B07XJ8C8F7/ref=zg_bs_amazon-devices_sccl_7/142-0406831-1305737?pd_rd_i=B08DLSLCF3&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Blink Video Doorbell (Black) + Mini Camera (Black) with Sync Module 2 | Two-Way Audio, HD Video, Motion and Chime Alerts | Al",4.3,49.99,279.98,57745,www.amazon.com/Blink-Doorbell-Camera-Two-Way-Enabled/dp/B09Y52G4QY/ref=zg_bs_amazon-devices_sccl_8/142-0406831-1305737?pd_rd_i=B09DFGMQWJ&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",4.7,39.9,0.0,516401,www.amazon.com/Echo-Dot/dp/B07XJ8C8F5/ref=zg_bs_amazon-devices_sccl_9/142-0406831-1305737?pd_rd_i=B07XJ8C8F5&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, eas",4.4,34.99,84.99,202260,www.amazon.com/Blink-Mini-Black-1Cam/dp/B09N6V1FHG/ref=zg_bs_amazon-devices_sccl_10/142-0406831-1305737?pd_rd_i=B0B15SHYXY&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",4.7,19.9,0.0,17387,www.amazon.com/fire-tv-stick-lite-latest-alexa-voice-remote-lite/dp/B091G4YP57/ref=zg_bs_amazon-devices_sccl_11/142-0406831-1305737?pd_rd_i=B091G4YP57&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, Blue Kid-Proof Case",4.7,69.9,0.0,122400,www.amazon.com/Fire-HD-8-Kids-Edition-tablet/dp/B07WDDT3G5/ref=zg_bs_amazon-devices_sccl_12/142-0406831-1305737?pd_rd_i=B07WDDT3G5&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Amazon Smart Plug, for home automation, Works with Alexa - A Certified for Humans Device",4.7,24.9,0.0,510839,www.amazon.com/Amazon-smart-plug-works-with-Alexa/dp/B089DR29T6/ref=zg_bs_amazon-devices_sccl_13/142-0406831-1305737?pd_rd_i=B07KTYJ769&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Ring Video Doorbell Wired with Ring Chime,4.5,64.99,104.98,51491,www.amazon.com/Ring-Video-Doorbell-Wired-Chime/dp/B09NLDYGHQ/ref=zg_bs_amazon-devices_sccl_14/142-0406831-1305737?pd_rd_i=B08T4FH9Y8&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls), HD streaming device",4.7,19.9,0.0,245639,www.amazon.com/fire-tv-stick-lite/dp/B07YNLBS7R/ref=zg_bs_amazon-devices_sccl_15/142-0406831-1305737?pd_rd_i=B07YNLBS7R&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire HD 8 tablet, 8"" HD display, 32 GB, latest model (2020 release), designed for portable entertainment, Black",4.6,49.9,0.0,157904,www.amazon.com/Fire-HD-8-tablet/dp/B07TMJ1R3X/ref=zg_bs_amazon-devices_sccl_16/142-0406831-1305737?pd_rd_i=B07TMJ1R3X&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Ring Solar Panel Black - Compatible with Ring Spotlight Cam Battery and Stick Up Cam Battery,4.7,39.99,103.27,38984,www.amazon.com/Ring-Solar-Panel-Black-Compatible/dp/B0781Z7V6V/ref=zg_bs_amazon-devices_sccl_17/142-0406831-1305737?pd_rd_i=B07G61MF64&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Withou",4.7,149.0,0.0,6865,www.amazon.com/Introducing-kindle-paperwhite-Signature-Edition/dp/B08B495319/ref=zg_bs_amazon-devices_sccl_18/142-0406831-1305737?pd_rd_i=B08B495319&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Kindle - Now with a Built-in Front Light - White,4.6,59.9,0.0,40322,www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07DPMXZZ7/ref=zg_bs_amazon-devices_sccl_19/142-0406831-1305737?pd_rd_i=B07DPMXZZ7&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",4.7,59.9,0.0,77694,www.amazon.com/Ring-Indoor-Compact-Security-Camera/dp/B07Q9VBYV8/ref=zg_bs_amazon-devices_sccl_20/142-0406831-1305737?pd_rd_i=B07Q9VBYV8&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Ring Chime,4.6,34.9,0.0,59815,www.amazon.com/Ring-Chime/dp/B09L45VFCN/ref=zg_bs_amazon-devices_sccl_21/142-0406831-1305737?pd_rd_i=B09L45VFCN&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Ring Rechargeable Battery Pack,4.8,34.9,0.0,99037,www.amazon.com/Ring-Rechargeable-Battery-Pack/dp/B076JKHDQT/ref=zg_bs_amazon-devices_sccl_22/142-0406831-1305737?pd_rd_i=B076JKHDQT&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire HD 10 tablet, 10.1”, 1080p Full HD, 32 GB, latest model (2021 release), hands-free with Alexa, Black",4.6,99.9,0.0,86261,www.amazon.com/Fire-HD-10-tablet/dp/B08BX7FV5L/ref=zg_bs_amazon-devices_sccl_23/142-0406831-1305737?pd_rd_i=B08BX7FV5L&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Made for Amazon SanDisk 128GB microSD Memory Card for Fire Tablets and Fire -TV,4.6,14.7,0.0,71094,www.amazon.com/SanDisk-micro-Memory-Card-Tablets/dp/B013TMNPBQ/ref=zg_bs_amazon-devices_sccl_24/142-0406831-1305737?pd_rd_i=B013TMNPBQ&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Insignia 32-inch Class F20 Series Smart HD 720p Fire TV (NS-32F201NA22, 2021 Model)",4.5,99.9,0.0,2467,www.amazon.com/All-New-Insignia-NS-32F201NA22-32-inch-Released/dp/B08X7JSCHQ/ref=zg_bs_amazon-devices_sccl_25/142-0406831-1305737?pd_rd_i=B08X7JSCHQ&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Deep Sea Blue",4.6,39.9,0.0,93189,www.amazon.com/Echo-Show-5-2nd-Gen-2021-release/dp/B08KJN3333/ref=zg_bs_amazon-devices_sccl_26/142-0406831-1305737?pd_rd_i=B08KJN3333&psc=1
